detection_id,recording_file,site_name,site_code,scientific_name,common_name,taxonomic_group,start_time_seconds,end_time_seconds,duration_seconds,min_frequency_hz,max_frequency_hz,model_confidence,verification_status,classifier_model
1,forest_ambient_soundscape.wav,Manas Transboundary River Reserve,SITE-MNS-005,Manis crassicaudata,Indian Pangolin,Mammalia,67.6,74.3,6.7,800,1400,0.93,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
2,rainforest_night_canopy.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Pitta brachyura,Indian Pitta,Aves,49.7,51.4,1.7,2200,2800,0.88,VERIFIED_AI,BioNet-AudioClassifier-v2.4
3,forest_ambient_soundscape.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Eudynamys scolopaceus,Asian Koel,Aves,154.8,157.2,2.4,450,2850,0.93,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
4,rainforest_night_canopy.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Corvus splendens,House Crow,Aves,1.5,9.0,7.5,250,1350,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
5,tawny_owl_call.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Melursus ursinus,Sloth Bear,Mammalia,33.0,41.2,8.2,250,4050,0.82,VERIFIED_AI,BioNet-AudioClassifier-v2.4
6,forest_ambient_soundscape.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Buceros bicornis,Great Hornbill,Aves,49.6,51.4,1.8,800,1400,0.88,VERIFIED_AI,BioNet-AudioClassifier-v2.4
7,rainforest_night_canopy.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Moschus chrysogaster,Alpine Musk Deer,Mammalia,145.0,153.4,8.4,1200,1800,0.96,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
8,rainforest_night_canopy.wav,Manas Transboundary River Reserve,SITE-MNS-005,Buceros bicornis,Great Hornbill,Aves,16.5,21.0,4.5,800,1900,0.84,VERIFIED_AI,BioNet-AudioClassifier-v2.4
9,riverine_dawn_chorus.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Haliaeetus leucogaster,White-Bellied Sea-Eagle,Aves,66.9,75.2,8.3,450,1550,0.81,VERIFIED_AI,BioNet-AudioClassifier-v2.4
10,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Moschus chrysogaster,Alpine Musk Deer,Mammalia,97.9,103.7,5.8,250,2650,0.78,VERIFIED_AI,BioNet-AudioClassifier-v2.4
