sample_id,sample_code,site_name,site_code,collected_at,collector,depth_meters,water_temperature_c,ph_level,dissolved_oxygen_mg_l,turbidity_ntu,filtration_volume_ml,sequencing_platform,total_metabarcode_reads,species_richness_detected
1,EDNA-2026-SND-001,Sundarbans Mangrove Biosphere,SITE-SND-001,2026-07-12 11:00:00,Maya Lin,4.98,19.2,7.67,7.48,11.0,5000,Illumina NovaSeq 6000,589420,73
2,EDNA-2025-NAM-002,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2025-09-23 16:00:00,Kavita Rao,8.34,20.2,6.43,8.99,10.6,1500,Oxford Nanopore GridION,319890,20
3,EDNA-2026-GIR-003,Gir Asiatic Lion Sanctuary,SITE-GIR-006,2026-06-07 11:00:00,Citizen Science Network,5.57,28.5,7.7,10.09,14.3,2000,Illumina MiSeq,246165,63
4,EDNA-2025-NAM-004,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2025-09-19 10:00:00,Maya Lin,0.66,19.4,6.48,9.82,15.3,5000,PacBio Sequel IIe,445618,20
5,EDNA-2026-CBT-005,Jim Corbett Himalayan Foothills,SITE-CBT-004,2026-01-25 11:00:00,Citizen Science Network,6.7,29.1,7.03,5.21,11.2,3000,PacBio Sequel IIe,585426,39
6,EDNA-2026-WGH-006,Western Ghats Rainforest Corridor,SITE-WGH-003,2026-05-13 17:00:00,Kavita Rao,3.31,28.1,6.91,4.97,12.8,3000,Illumina MiSeq,751971,36
7,EDNA-2025-GIR-007,Gir Asiatic Lion Sanctuary,SITE-GIR-006,2025-10-23 07:00:00,Dr. Evelyn Vance,5.72,20.9,7.54,6.93,20.0,2500,PacBio Sequel IIe,224412,64
8,EDNA-2026-GIR-008,Gir Asiatic Lion Sanctuary,SITE-GIR-006,2026-07-12 12:00:00,Dr. Evelyn Vance,5.54,28.0,6.51,8.33,12.3,5000,Illumina MiSeq,212653,27
9,EDNA-2025-NAM-009,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2025-09-18 08:00:00,Dr. Aris Thorne,2.24,25.9,7.09,9.91,2.1,2000,PacBio Sequel IIe,568984,41
10,EDNA-2025-NAM-010,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2025-10-10 15:00:00,Maya Lin,4.64,22.3,7.63,5.92,4.3,2000,PacBio Sequel IIe,722895,42
11,EDNA-2026-KZR-011,Kaziranga Floodplain Sanctuary,SITE-KZR-002,2026-01-13 18:00:00,Dr. Evelyn Vance,6.07,19.6,7.56,8.46,28.5,2000,Illumina NovaSeq 6000,322321,72
12,EDNA-2026-KZR-012,Kaziranga Floodplain Sanctuary,SITE-KZR-002,2026-04-20 08:00:00,Ranger Patrol Alpha,3.95,17.8,7.7,9.32,9.9,2500,Illumina NovaSeq 6000,756713,52
13,EDNA-2026-MNS-013,Manas Transboundary River Reserve,SITE-MNS-005,2026-02-01 08:00:00,Ranger Patrol Alpha,6.12,26.7,6.73,6.56,7.3,2000,Illumina MiSeq,428235,68
14,EDNA-2025-NAM-014,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2025-09-14 11:00:00,Tenzing Norgay Eco-Team,4.99,23.3,8.27,5.24,25.3,1500,Oxford Nanopore GridION,597500,63
15,EDNA-2026-NAM-015,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2026-05-28 12:00:00,Citizen Science Network,3.66,24.8,6.64,6.31,3.2,3000,Oxford Nanopore GridION,314568,74
16,EDNA-2025-WGH-016,Western Ghats Rainforest Corridor,SITE-WGH-003,2025-11-06 12:00:00,Tenzing Norgay Eco-Team,7.77,17.3,6.64,5.37,5.7,2500,Illumina MiSeq,542831,51
17,EDNA-2025-MNS-017,Manas Transboundary River Reserve,SITE-MNS-005,2025-10-11 10:00:00,Maya Lin,5.51,24.5,6.64,6.23,15.8,5000,Illumina MiSeq,800556,55
18,EDNA-2025-WGH-018,Western Ghats Rainforest Corridor,SITE-WGH-003,2025-11-27 16:00:00,Tenzing Norgay Eco-Team,6.21,25.3,8.0,7.71,23.7,1500,Illumina NovaSeq 6000,227670,59
