detection_id,sample_code,site_name,scientific_name,common_name,taxonomic_group,conservation_status,is_invasive,read_count,relative_abundance,sequence_match_identity,primer_target,verification_status
1,EDNA-2026-SND-052,Sundarbans Mangrove Biosphere,Ficus benghalensis,Banyan Tree,Plantae,LC,False,4226,0.0066,98.91,ITS2 (Fungal/Flora),VERIFIED_EXPERT
2,EDNA-2025-NAM-009,Namdapha Eastern Himalayan Wilderness,Tenualosa ilisha,Hilsa Shad,Actinopterygii,LC,False,16365,0.02876,98.14,COI (Invertebrate),VERIFIED_EXPERT
3,EDNA-2025-CBT-029,Jim Corbett Himalayan Foothills,Tor putitora,Golden Mahseer,Actinopterygii,EN,False,6509,0.00834,98.84,16S rRNA (Fish/Amphibian),VERIFIED_AI
4,EDNA-2025-PER-025,Periyar Cardamom Hills Watershed,Ailurus fulgens,Red Panda,Mammalia,EN,False,5219,0.01657,97.97,18S rRNA (Eukaryote),VERIFIED_EXPERT
5,EDNA-2025-SND-036,Sundarbans Mangrove Biosphere,Pitta brachyura,Indian Pitta,Aves,LC,False,31867,0.03686,98.02,COI (Invertebrate),VERIFIED_AI
6,EDNA-2026-SND-001,Sundarbans Mangrove Biosphere,Pitta brachyura,Indian Pitta,Aves,LC,False,12903,0.02189,99.91,12S rRNA (Vertebrate),VERIFIED_EXPERT
7,EDNA-2025-WGH-049,Western Ghats Rainforest Corridor,Troides minos,Southern Birdwing,Insecta,LC,False,16348,0.06189,99.24,16S rRNA (Fish/Amphibian),VERIFIED_AI
8,EDNA-2025-WGH-016,Western Ghats Rainforest Corridor,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,LC,False,19000,0.035,98.45,18S rRNA (Eukaryote),VERIFIED_EXPERT
9,EDNA-2026-PER-020,Periyar Cardamom Hills Watershed,Eurystomus orientalis,Dollarbird,Aves,LC,False,24019,0.02574,98.78,ITS2 (Fungal/Flora),VERIFIED_EXPERT
10,EDNA-2026-SND-052,Sundarbans Mangrove Biosphere,Prosopis juliflora,Mesquite Shrub,Plantae,LC,True,21436,0.03348,99.79,COI (Invertebrate),VERIFIED_AI
11,EDNA-2026-GIR-003,Gir Asiatic Lion Sanctuary,Bubo bubo,Eurasian Eagle-Owl,Aves,LC,False,10013,0.04068,97.54,18S rRNA (Eukaryote),VERIFIED_EXPERT
12,EDNA-2025-SND-038,Sundarbans Mangrove Biosphere,Oreochromis niloticus,Nile Tilapia,Actinopterygii,LC,True,19795,0.10434,97.88,COI (Invertebrate),VERIFIED_AI
13,EDNA-2026-NAM-037,Namdapha Eastern Himalayan Wilderness,Eudynamys scolopaceus,Asian Koel,Aves,LC,False,33172,0.04476,98.88,COI (Invertebrate),VERIFIED_AI
14,EDNA-2025-CBT-053,Jim Corbett Himalayan Foothills,Apis dorsata,Giant Honeybee,Insecta,LC,False,47869,0.09643,99.1,ITS2 (Fungal/Flora),VERIFIED_EXPERT
15,EDNA-2026-WGH-047,Western Ghats Rainforest Corridor,Bungarus caeruleus,Common Krait,Reptilia,LC,False,11542,0.02826,97.85,18S rRNA (Eukaryote),VERIFIED_EXPERT
16,EDNA-2026-MNS-035,Manas Transboundary River Reserve,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,EN,False,34787,0.04098,97.58,12S rRNA (Vertebrate),VERIFIED_EXPERT
17,EDNA-2026-NAM-043,Namdapha Eastern Himalayan Wilderness,Neofelis nebulosa,Clouded Leopard,Mammalia,VU,False,868,0.00105,98.53,16S rRNA (Fish/Amphibian),VERIFIED_AI
18,EDNA-2025-NAM-010,Namdapha Eastern Himalayan Wilderness,Elephas maximus,Asian Elephant,Mammalia,EN,False,14784,0.02045,98.76,COI (Invertebrate),VERIFIED_AI
19,EDNA-2026-PER-041,Periyar Cardamom Hills Watershed,Troides minos,Southern Birdwing,Insecta,LC,False,43656,0.09627,98.72,12S rRNA (Vertebrate),VERIFIED_EXPERT
20,EDNA-2026-GIR-027,Gir Asiatic Lion Sanctuary,Elephas maximus,Asian Elephant,Mammalia,EN,False,1546,0.00193,98.82,COI (Invertebrate),VERIFIED_EXPERT
21,EDNA-2025-MNS-019,Manas Transboundary River Reserve,Rhinoceros unicornis,Greater One-Horned Rhinoceros,Mammalia,VU,False,33363,0.07639,99.53,ITS2 (Fungal/Flora),VERIFIED_EXPERT
22,EDNA-2026-KZR-012,Kaziranga Floodplain Sanctuary,Bubalus arnee,Wild Water Buffalo,Mammalia,EN,False,6762,0.00894,98.81,16S rRNA (Fish/Amphibian),VERIFIED_AI
23,EDNA-2025-GIR-034,Gir Asiatic Lion Sanctuary,Corvus splendens,House Crow,Aves,LC,False,23678,0.06042,98.17,ITS2 (Fungal/Flora),VERIFIED_AI
24,EDNA-2026-PER-026,Periyar Cardamom Hills Watershed,Rhizophora mangle,Red Mangrove,Plantae,LC,False,37477,0.16973,98.11,16S rRNA (Fish/Amphibian),VERIFIED_AI
25,EDNA-2025-CBT-053,Jim Corbett Himalayan Foothills,Manis crassicaudata,Indian Pangolin,Mammalia,EN,False,43293,0.08721,99.98,12S rRNA (Vertebrate),VERIFIED_AI
26,EDNA-2025-PER-025,Periyar Cardamom Hills Watershed,Channa marulius,Great Snakehead,Actinopterygii,LC,False,36671,0.11645,98.69,12S rRNA (Vertebrate),VERIFIED_EXPERT
27,EDNA-2026-WGH-006,Western Ghats Rainforest Corridor,Atta cephalotes,Leafcutter Ant,Insecta,LC,False,28886,0.03841,99.11,COI (Invertebrate),VERIFIED_EXPERT
28,EDNA-2026-PER-055,Periyar Cardamom Hills Watershed,Trachypithecus geei,Golden Langur,Mammalia,EN,False,35063,0.03803,99.8,16S rRNA (Fish/Amphibian),VERIFIED_AI
