occurrence_id,scientific_name,common_name,taxonomic_group,conservation_status,site_name,site_code,latitude,longitude,coordinate_uncertainty_meters,observed_at,individual_count,observation_method,observer,confidence_score,is_threat_alert
GBIF-BIOINTEL-2026-0001,Panthera pardus,Leopard,Mammalia,VU,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.56696,93.42094,50,2026-06-15 08:15:00,1,DRONE_SURVEY,Dr. Aris Thorne,0.83,False
GBIF-BIOINTEL-2026-0002,Loris tardigradus,Slender Loris,Mammalia,EN,Sundarbans Mangrove Biosphere,SITE-SND-001,21.97061,88.86837,50,2025-09-20 07:32:00,1,DRONE_SURVEY,Tenzing Norgay Eco-Team,0.89,True
GBIF-BIOINTEL-2026-0003,Panthera tigris tigris,Bengal Tiger,Mammalia,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.72678,90.95336,25,2026-06-24 05:44:00,1,HUMAN_OBSERVATION,Dr. Aris Thorne,0.98,True
GBIF-BIOINTEL-2026-0004,Channa marulius,Great Snakehead,Actinopterygii,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.60319,93.27936,5,2025-07-20 11:54:00,12,CAMERA_TRAP,Kavita Rao,0.9,False
GBIF-BIOINTEL-2026-0005,Ophiophagus hannah,King Cobra,Reptilia,VU,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.75851,93.37321,10,2026-04-18 19:56:00,1,CAMERA_TRAP,Citizen Science Network,0.83,False
GBIF-BIOINTEL-2026-0006,Manis crassicaudata,Indian Pangolin,Mammalia,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.68339,91.06071,25,2025-09-28 03:24:00,1,PASSIVE_ACOUSTIC,Maya Lin,0.85,True
GBIF-BIOINTEL-2026-0007,Melursus ursinus,Sloth Bear,Mammalia,VU,Manas Transboundary River Reserve,SITE-MNS-005,26.76024,90.94344,100,2026-04-08 20:10:00,1,EDNA_ASSAY,Maya Lin,0.88,False
GBIF-BIOINTEL-2026-0008,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,EN,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.06464,70.75032,100,2025-09-26 01:51:00,1,HUMAN_OBSERVATION,Ranger Patrol Alpha,0.98,True
GBIF-BIOINTEL-2026-0009,Pitta brachyura,Indian Pitta,Aves,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.2354,70.86286,100,2026-05-02 15:25:00,5,HUMAN_OBSERVATION,Tenzing Norgay Eco-Team,0.84,False
GBIF-BIOINTEL-2026-0010,Hypophthalmichthys nobilis,Bighead Carp,Actinopterygii,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.6658,91.16926,5,2026-03-26 12:23:00,8,DRONE_SURVEY,Citizen Science Network,0.84,True
GBIF-BIOINTEL-2026-0011,Macaca radiata,Bonnet Macaque,Mammalia,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.70414,93.37892,50,2026-04-18 05:50:00,1,EDNA_ASSAY,Tenzing Norgay Eco-Team,0.88,False
GBIF-BIOINTEL-2026-0012,Elephas maximus,Asian Elephant,Mammalia,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.80451,91.03109,25,2026-05-15 23:07:00,1,PASSIVE_ACOUSTIC,Dr. Aris Thorne,0.95,True
GBIF-BIOINTEL-2026-0013,Lantana camara,Lantana Weed,Plantae,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.88614,91.13276,100,2025-08-20 14:00:00,9,PASSIVE_ACOUSTIC,Dr. Aris Thorne,0.95,True
GBIF-BIOINTEL-2026-0014,Anopheles stephensi,Malaria Vector Mosquito,Insecta,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.71217,90.91846,50,2026-04-08 06:09:00,1,DRONE_SURVEY,Dr. Aris Thorne,0.92,False
GBIF-BIOINTEL-2026-0015,Melanochelys trijuga,Indian Black Turtle,Reptilia,NT,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.51738,93.4634,50,2026-07-19 09:15:00,1,CAMERA_TRAP,Citizen Science Network,0.83,False
GBIF-BIOINTEL-2026-0016,Prionailurus viverrinus,Fishing Cat,Mammalia,VU,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.78405,93.24954,50,2025-08-05 21:30:00,1,DRONE_SURVEY,Maya Lin,0.97,False
GBIF-BIOINTEL-2026-0017,Python bivittatus,Burmese Python,Reptilia,VU,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.49203,79.07988,10,2025-12-22 21:41:00,1,EDNA_ASSAY,Dr. Aris Thorne,0.84,False
GBIF-BIOINTEL-2026-0018,Rhinoceros unicornis,Greater One-Horned Rhinoceros,Mammalia,VU,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.14653,70.67216,5,2026-03-29 17:14:00,1,CAMERA_TRAP,Citizen Science Network,0.86,False
GBIF-BIOINTEL-2026-0019,Melursus ursinus,Sloth Bear,Mammalia,VU,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.17069,70.73427,100,2026-02-19 07:17:00,1,HUMAN_OBSERVATION,Tenzing Norgay Eco-Team,0.94,False
GBIF-BIOINTEL-2026-0020,Eudynamys scolopaceus,Asian Koel,Aves,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.45212,96.2583,50,2026-07-07 15:51:00,6,EDNA_ASSAY,Citizen Science Network,0.89,False
GBIF-BIOINTEL-2026-0021,Trachypithecus geei,Golden Langur,Mammalia,EN,Sundarbans Mangrove Biosphere,SITE-SND-001,21.89179,88.9585,100,2025-07-02 12:46:00,1,HUMAN_OBSERVATION,Kavita Rao,0.85,True
GBIF-BIOINTEL-2026-0022,Hypophthalmichthys nobilis,Bighead Carp,Actinopterygii,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.77494,76.82698,100,2025-09-02 08:29:00,9,EDNA_ASSAY,Citizen Science Network,0.84,True
GBIF-BIOINTEL-2026-0023,Loris tardigradus,Slender Loris,Mammalia,EN,Sundarbans Mangrove Biosphere,SITE-SND-001,21.91192,88.84441,10,2026-06-21 07:10:00,1,EDNA_ASSAY,Kavita Rao,0.97,True
GBIF-BIOINTEL-2026-0024,Tenualosa ilisha,Hilsa Shad,Actinopterygii,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.9169,88.9872,10,2025-10-14 14:18:00,11,DRONE_SURVEY,Maya Lin,0.94,False
GBIF-BIOINTEL-2026-0025,Pitta brachyura,Indian Pitta,Aves,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.76266,91.09439,100,2025-06-30 18:47:00,1,CAMERA_TRAP,Citizen Science Network,0.92,False
